quote,author,category
The easiest way to be reborn is to live and feel life everyday,Munia Khan,"born, born-again, easiest, easy, everyday, everyday-quotes, feel, life, life-and-death, life-and-living, life-experience, life-philosophy, life-quotes, live, philosophy, reborn, way, wisdom, wisdom-inspirational, wisdom-quotes"
Some of us are busy doing things, some of us are busy complaining.,Debasish Mridha
Good authors worry about genres great authors don't.,Frank X. Gaspar,"frank-gaspar, good-author, great-author, mg-hardie, philosophy"
To conquer oneself is the best and noblest victory, to be vanquished by one's own nature is the worst and most ignoble defeat.,Plato
A lie never grows old.,"Sophocles, White Lies","life, philosophy, quote"
The cinema is truth 24 frames-per-second,Jean-Luc Godard,"film, philosophy"
Life is like yoga, the only way you can enjoy it is by relaxing into any position you happen to find yourself in.,"Jon Wakeham, Troubled Waters"
"For a game, you don’t need a teacher.","Dejan Stojanovic, The Sun Watches the Sun","books, dejan-stojanovic, game, games, literature, literature-quotes, philosophy, poetry, poetry-quotes, poets, quotes, teacher, teachers, the-sun-watches-the-sun, wisdom"
Those who do not think bout the future cannot have one.,Michael J. Kami,"philosophy, wisdom"
Never say no to now,"Benny Bellamacina, Piddly poems for children vol:3","humour, humourous, life, philosophy, wisdom"
Ignore a person kill the person.,M.Azeem Talib,philosophy
A stone is heavy and the sand is weighty, but a fool's wrath is heavier than them both.,"Frank Herbert, Dune"
True knowledge exists in knowing that you know nothing.,Socrates,philosophy
"I think I exist, therefore I exist. I think.","David Gerrold, The Man Who Folded Himself","funny, philosophy"
"We're on a planet, relax!","Benny Bellamacina, Piddly Poems for Children, v.2","humor, philosophy, wisdom"
A constitution that is made for all nations is made for none.,Joseph de Maistre,"philosophy, politics"
Light in comparison with darkness is a void.,Vladimir Nabokov,philosophy
You must go on.I can’t go on.I’ll go on.,"Samuel Beckett, The Unnamable","life, literature, philosophy"
Love is my inner strength and my power.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom"
Be kind. It will reveal your true inner beauty.,Debasish Mridha,"be-kind, buddha, debasish-mridha, debasish-mridha-md, gandhi, inner-beauty, inspirational, miraboli, oscar-wilde, philosophy, quotes, tagore, true-beauty"
Art is whatever you can get away with.,"Marshall McLuhan, The Medium is the Massage","art, communications, media, philosophy"
Be a worthy worker and work will come.,"Amit Kalantri, Wealth of Words","adage, advertisement, alliterations, amit-kalantri, amit-kalantri-quotes, amit-kalantri-writer, artist, assignment, associate, blog, blogging, book-writing, business, catch-lines, catchphrases, characters, closing-deal, contracts, craftsmanship, creative-writing, deal, efficiency, employee, essay, inspirational, knowledge, labor, laborer, labour, labourer, motivational, movie, movie-dialogue, novel-writing, philosophy, project, projects, proverbs, public-speaking, punchline, quality, quotes, rhetoric, script, script-writing, scriptwriting, serviceman, skill, slogans, social-networking, speech, speechwriting, story, tag-lines, union, wisdom, work, worker, workman, workmanship, worthy, writing"
"After your death, you will be what you were before your birth.",Arthur Schopenhauer,"afterlife, birth, death, life, life-after-death, metaphysics, philosophy"
One does what one is, one becomes what one does.,Robert Musil
"To be, or not to be: what a question!","E.A. Bucchianeri, Faust: My Soul Be Damned for the World: Volume I","existence, faust, funny, humor, marlowe, philosophical-humor, philosophy, philosophy-of-life, questions, questions-and-answers, questions-in-life, shakespeare, to-be-or-not-to-be"
"When your tears become invisible, disappear",Benny Bellamacina,"life, love, lovers, philosophy, relationships, wisdom"
What's the survival value of obsessing on a sunset?,"Peter Watts, Blindsight",philosophy
"Free your mind from routine, keep your brain somewhere else",Benny Bellamacina,"freedom, humor, humour, philosophy, wisdom"
"You have made the moon,"" The Jester said. ""That is the moon.","James Thurber, Many Moons","children-s-books, life, philosophy"
I Take Life Very Seriously: One Joke At A Time.,Sandra Chami Kassis,"funny, life, philosophy, quotes, truth, wisdom-inspirational"
Never let your uniqueness be compromised,Benny Bellamacina,"life, philosophy, wisdom"
We co-create our reality with others in unseen ways.,Doug Dillon,"connectivity, creation, inspiration, philosophy, reality, unseen"
Life is a complexwith real and imaginary parts,"Angela Suba, From My Pen, On Life","life, philosophy"
"True, life is complex. But so are a great many accidents.","Foz Meadows, The Key to Starveldt","complex, life, philosophy"
"MIGHT, something God only has.",A Gentlemen,"god, philosophy, relegion"
At sunrise everything is luminous but not clear.,"Norman Maclean, A River Runs Through It and Other Stories","people, philosophy, sunrise, thoughts"
The gods are fond of the cryptic and dislike the evident.,"Elizabeth Gilbert, Eat, Pray, Love","philosophy, spirituality, upanishads"
"When the road ahead seems impossible, start the engine","Benny Bellamacina, Piddly Poems for Children","humour, life, optimism, philosophy, quote, wisdom"
"As individuals express their life, so they are.","Karl Marx, The German Ideology","history, philosophy"
"For me, writing is immortality. It is wisdom. It is never-ending.",Al   Stone,"inspirational, philosophy, reality"
See the moon? It hates us.,Donald Barthelme,"pessimism, philosophy"
Suicidal glory is the luxury of the irresponsible.,"Lois McMaster Bujold, Barrayar","death, glory, philosophy, power, war"
"In my heart's most secret place,I pity them as angels do.",Sara Teasdale,"pessimism, philosophy"
Laughter is the antidote to existential pain,"S. Spencer Baker, Slabscape: Reset","aphorism, humour, pain, philosophy"
"If you think fate is fickle, try tempting it","S. Spencer Baker, Slabscape: Reset","humour, philosophy"
Every country has the government it deserves.,Joseph de Maistre,"philosophy, politics"
The rider evolved to serve to the elephant.,"Jonathan Haidt, The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom","elephant, haidt, happiness, jon, jonathan, life, mindfuckery, philosophy"
Wisdom is seeing something in a non-habitual manner.,William James,philosophy
Love delayed is lust augmented.,Louis de Bernières,philosophy
Death is never an excuse to stop living.,"Catherine Johnson, A Nest of Vipers","death, life, philosophy"
We must think beyond ourselves,"Kevin J. Anderson, A Forest of Stars","inspirational, life, love, philosophy"
Rien ne sert de courir il faut partir à point,"Jean de La Fontaine, The Fables of La Fontaine",philosophy
The world is a garden of philosophy. God is its gardener, Man is the visitor.And any tree that does not bear fruits of philosophy either does not belong tothat garden or is yet to be grown.,Kedar Joshi
Would Crazy Horse have spent this much to remodel a kitchen?,"Ian Frazier, On the Rez","humor, native-americans, philosophy"
Sublime natures are seldom clean!,"Longinus, Longinus on the Sublime: The Greek Text","anne-carson, decreation, philosophy"
I man is a prisoner of only his own mind.,Michael Hawkins,philosophy
Brahman is the ultimate reality, it is simultaneously Saguna and Nirguna, divisions are due to ignorance. Mind and intellect can never catch hold of it
At the heart of nature’s mystery lies another mystery.,"Ransom Riggs, Hollow City",philosophy
A true confession: I believe in a soluble fish.,"Charles Simic, The Unemployed Fortune-Teller: Essays and Memoirs","confession, fish, philosophy"
You need contradictions to make an ideal.,"Alex Shakar, The Savage Girl",philosophy
Pay attention to me.,Sally Quinn,"horticulture, humor, philosophy, politics"
Life is what you portrait it!,Mohammad Hossein Khosh Bayan,"life, philosophy"
Great losses are great lessons.,"Amit Kalantri, Wealth of Words","adage, advertisement, alliterations, amit-kalantri, amit-kalantri-quotes, amit-kalantri-writer, blog, blogging, book-writing, bounce-back, catch-lines, catchphrases, characters, creative-writing, essay, experience, hope, inspirational, knowledge, learning-from-mistakes, lesson, loss, mistakes, motivational, movie, movie-dialogue, novel-writing, philosophy, profit, proverbs, public-speaking, punchline, quotes, rhetoric, script, script-writing, scriptwriting, setback, slogans, social-networking, speech, speechwriting, story, success, tag-lines, wisdom, writing"
The ultimate goal of humanity is knowledge.,Abhijit Naskar,"inspiration, inspirational, knowledge, knowledge-education, knowledge-quotes, knowledge-teaching, knowledge-wisdom, philosophy, philosophy-quotes, pursuit-of-knowledge, truth, truth-of-life, wisdom-quotes, wise-quotes, wise-words, words-of-wisdom"
You don't need to look at the beauty to feel the love.,Anthony T. Hincks,"beautiful, beauty, feel, look, love, philosophy, see, touch"
Asshole Proximity Disorder,Stefan Molyneux,"abuse, bullying, child-abuse, healing, philosophy, psychology, trauma"
"A mother gives you a life, a mother-in-law gives you her life.","Amit Kalantri, Wealth of Words","after-marriage, amit-kalantri, amit-kalantri-proverb, amit-kalantri-quotes, amit-kalantri-writer, boy, daughter, family, girl, husband, in-laws, inspirational-quotes, love, matrimony, mom, mother, mother-in-law, motivational-quotes, mummy, philosophy, promise, relations, wedding-marriage, wife, wisdom"
Every new day is an opportunity to grow your love.,Debasish Mridha,"debasish-mridha, debasish-mridha-m-d, inspirational, love, new-day, opportunity, opportunity-to-grow-your-love, philosophy, quotes"
"Our ancestors have invented, we can at least innovate.",Amit Kalantri,"amit-kalantri, ancestors, creative, improvement, innovation, invention, motivation, originality, philosophy, predecessor, wisdom"
"Compromise brings harmony to both, happiness to none.",Amit Kalantri,"adjust, adjustment, agreement, amit-kalantri, amit-kalantri-quotes, both, bring, bringing, compromise, compromises, happiness, happy, harmonious, harmony, human, humans, inspiration, inspirational, inspirational-quotes, middle-road, motivation, motivational, motivational-quotes, philosophy, truce, wisdom, wisdom-quotes"
My depth has no depth,Mohadesa Najumi,"life, philosophy"
"When the mind is free, magic happens.",C.G. Rousing,"fantasy, humor, law-of-attraction, new-adult, new-thought, paranormal, philosophy, psychology, science-fiction, spirituality, thoughts-to-die-for, ya, young-adult, young-adult-fantasy"
"Love will never let you down, if you don't give it up",Benny Bellamacina,"hope, life, love, philosophy, relationships, wisdom"
"Want less, live more",Benny Bellamacina,"life, philosophy, wisdom-inspirational"
"Who are you? No really. Way, way down deep. Who are you?",Doug Dillon,"identify, inspiration, philosophy, reality, spirituality"
Other people are only aspects of our own greater being.,Doug Dillon,"compassion, inspiration, paranormal, people, philosophy, spirituality, supernatural"
"You can change your mind, don't let your mind change you",Benny Bellamacina,"humor, life, philosophy, wisdom"
A loud smile is often a fake laugh.,Saahil Prem,"humor-inspirational, life-and-living, philosophy"
